七武士, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,9.3,208150人评价
血战钢锯岭, 梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield /...,2016,8.7,808229人评价
阳光姐妹淘, 姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,8.8,605641人评价
惊魂记, 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho...,1960,9.0,314998人评价
恐怖直播, 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,8.7,679410人评价
黑客帝国3：矩阵革命, 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski, 神木隆之介 Ryûnosuke Kamiki / 上...,2016,8.5,1464855人评价
三块广告牌, 马丁·麦克唐纳 Martin McDonagh, 弗兰西斯·麦克多蒙德 France...,2017,8.7,854623人评价
电锯惊魂, 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,8.7,560688人评价
心迷宫, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,8.8,553883人评价
达拉斯买家俱乐部, 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,2013,8.8,471340人评价
疯狂原始人, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders, 马特·达蒙 Matt Damon / ...,2007,8.8,435200人评价
小丑, 托德·菲利普斯 Todd Phillips, 杰昆·菲尼克斯 Joaquin Phoeni...,2019,8.7,1049378人评价
英雄本色, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,8.6,563604人评价
上帝之城, 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund, 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,8.9,368434人评价
绿里奇迹, 弗兰克·德拉邦特 Frank Darabont, 汤姆·汉克斯 Tom Hanks / ...,1999,8.9,350273人评价
爱在午夜降临前, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2013,8.9,425351人评价
海街日记, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,8.8,471442人评价
背靠背，脸对脸, 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang, 牛振华 Zhenhua N...,1994,9.5,148024人评价
心灵奇旅, 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers, 杰米·...,2020,8.7,1033467人评价
纵横四海, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,8.8,443595人评价
卢旺达饭店, 特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,8.9,343112人评价
疯狂的石头, 宁浩 Hao Ning, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,8.6,859494人评价
记忆碎片, 克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce /...,2000,8.7,626622人评价
无间道2, 刘伟强 / 麦兆辉, 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003,8.7,509216人评价
雨中曲, 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly, 吉恩·...,1952,9.1,239538人评价
2001太空漫游, 斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea / ...,1968,8.9,351435人评价
小偷家族, 是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky / 安藤樱 Sa...,2018,8.7,842984人评价
岁月神偷, 罗启锐 Alex Law, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,8.7,587882人评价
无敌破坏王, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly / 萨拉...,2012,8.7,565985人评价
